"","newTarget","Marital.status","Application.mode","Application.order","Course","Day.eve.attendance","Previous.qualification","Nationality","Mother.qualification","Father.qualification","Mother.occupation","Father.occupation","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","Fsem.without.eval","Ssem.credit","Ssem.enrolled","Ssem.eval","Ssem.grade","Ssem.without.eval","Unemployment.rate","Inflation.rate","GDP"
"54","1",1,1,3,8,1,1,1,22,27,12,12,0,0,0,1,0,0,19,0,0,5,5,15.8,0,7.6,2.6,0.32
"55","0",1,12,1,17,0,1,1,23,28,10,10,0,0,0,1,0,0,27,0,0,5,10,11,0,9.4,-0.8,-3.12
"56","1",1,1,1,12,1,1,1,1,14,6,6,1,0,0,1,0,0,18,0,0,8,10,13.595,0,15.5,2.8,-4.06
"57","0",2,4,1,11,1,3,1,1,3,5,4,0,0,0,1,0,0,39,0,0,6,6,0,0,12.4,0.5,1.79
"58","0",1,12,1,8,1,15,1,3,3,3,3,1,0,0,1,0,0,27,0,5,11,13,12.9,0,12.4,0.5,1.79
"59","1",1,8,1,12,1,1,1,23,28,8,11,1,0,0,1,0,0,18,0,0,8,8,14.935,0,9.4,-0.8,-3.12
"61","1",1,1,2,12,1,1,1,13,14,10,10,0,0,0,1,0,0,18,0,0,8,12,12.22142857,0,16.2,0.3,-0.92
"62","1",1,15,1,10,1,14,1,13,1,10,10,0,0,0,1,0,1,21,0,2,6,7,12,0,13.9,-0.3,0.79
"63","1",1,8,3,2,1,1,1,1,27,5,8,1,0,0,1,1,1,19,0,0,0,0,0,0,10.8,1.4,1.74
"64","1",1,8,1,5,1,1,1,1,1,4,5,1,0,0,1,1,0,19,0,0,6,8,10,0,10.8,1.4,1.74
"66","0",4,13,1,12,1,12,1,1,1,6,6,1,0,0,1,1,0,29,0,1,8,10,11,0,13.9,-0.3,0.79
"67","1",1,1,3,2,1,1,1,13,14,6,4,1,0,0,1,1,1,19,0,0,0,0,0,0,10.8,1.4,1.74
"68","1",1,15,1,4,1,14,1,13,27,10,10,1,0,0,1,1,0,23,0,0,6,7,12.42857143,0,8.9,1.4,3.51
"69","0",1,1,3,9,1,1,1,1,28,8,8,0,0,1,1,1,0,19,0,0,5,10,10.75,3,16.2,0.3,-0.92
"72","1",1,8,1,12,1,1,1,22,14,9,5,0,0,0,1,1,0,24,0,0,8,8,13.75,0,13.9,-0.3,0.79
"73","0",1,1,1,2,1,1,1,13,14,6,11,1,0,0,1,1,0,19,0,0,0,0,0,0,15.5,2.8,-4.06
"74","0",1,8,4,11,1,1,1,23,27,6,8,1,0,0,1,1,0,18,0,0,6,12,12,0,12.4,0.5,1.79
"75","1",1,1,2,15,1,1,1,23,28,10,10,1,0,0,1,1,0,18,0,0,6,11,12.33333333,0,10.8,1.4,1.74
"76","0",1,8,3,9,1,1,1,13,14,5,8,1,0,1,1,1,0,18,0,0,5,11,10.85714286,0,10.8,1.4,1.74
"77","0",1,9,4,11,1,1,1,13,27,8,8,1,0,0,1,1,1,21,0,0,6,11,11,0,9.4,-0.8,-3.12
"78","1",1,8,4,15,1,1,1,1,14,10,9,1,0,1,1,1,1,19,0,0,6,6,13.33333333,0,8.9,1.4,3.51
"79","1",1,8,4,12,1,1,1,23,27,10,10,0,0,0,1,1,1,22,0,0,8,9,15.05555556,0,16.2,0.3,-0.92
"80","1",2,12,1,3,0,1,1,22,27,10,7,0,0,0,1,1,0,33,0,0,6,6,11.66666667,0,10.8,1.4,1.74
"81","0",1,1,6,16,1,1,1,13,14,10,10,1,0,0,1,1,0,20,0,0,6,7,12.2,0,10.8,1.4,1.74
"82","0",1,12,1,17,0,2,1,3,3,3,3,1,0,0,1,1,0,35,1,0,5,0,0,0,10.8,1.4,1.74
"83","0",1,12,1,4,1,4,1,3,3,5,3,0,0,1,1,1,0,24,0,7,12,14,13.3,0,12.4,0.5,1.79
"85","1",2,12,1,3,0,1,1,22,27,10,7,1,0,0,1,0,0,33,0,0,6,11,11,0,9.4,-0.8,-3.12
"86","1",1,13,1,12,1,1,1,22,28,10,8,1,0,0,1,0,1,22,0,0,8,8,13.08,0,10.8,1.4,1.74
"87","1",1,12,1,14,1,1,1,1,14,5,6,0,0,0,1,0,1,25,0,0,5,7,11.6,0,9.4,-0.8,-3.12
"88","1",1,8,1,5,1,1,1,13,28,5,1,1,0,0,1,1,0,20,1,0,6,6,11.2,0,7.6,2.6,0.32
"91","0",1,12,1,12,1,1,1,1,1,5,11,0,0,0,1,1,0,24,0,0,7,7,0,0,13.9,-0.3,0.79
"92","1",1,8,2,15,1,1,14,13,1,10,10,1,0,0,0,0,0,21,0,0,6,6,13.5,0,8.9,1.4,3.51
"93","0",1,6,1,8,1,1,14,1,1,5,5,0,0,0,1,0,0,26,1,0,6,6,0,0,8.9,1.4,3.51
"94","0",2,12,1,16,1,8,1,22,24,1,1,0,0,0,1,0,0,39,0,0,6,14,0,1,7.6,2.6,0.32
"95","1",2,12,1,3,0,1,1,22,14,10,10,0,0,0,1,0,0,44,0,0,6,7,12.33333333,0,12.7,3.7,-1.7
"97","1",1,1,5,15,1,1,1,22,1,6,6,1,0,0,1,0,0,18,0,0,6,6,13.33333333,0,8.9,1.4,3.51
"98","1",1,1,5,12,1,1,1,22,27,8,8,1,0,0,1,0,1,18,0,0,8,9,14.47777778,0,12.4,0.5,1.79
"100","0",1,1,4,12,1,1,1,3,3,3,3,1,0,1,0,0,0,19,0,0,7,7,0,0,13.9,-0.3,0.79
"101","0",1,17,1,6,1,16,1,23,28,10,10,0,0,0,1,0,0,21,0,4,9,14,13.4,0,8.9,1.4,3.51
"102","1",1,1,4,2,1,1,1,1,1,10,11,1,0,0,1,0,0,20,0,0,0,0,0,0,16.2,0.3,-0.92
"103","0",2,12,1,3,0,1,1,22,27,7,6,1,0,0,1,0,0,36,0,0,6,0,0,0,9.4,-0.8,-3.12
"104","1",4,12,1,4,1,9,1,22,27,10,7,0,0,0,1,0,0,43,0,10,13,14,14.23076923,1,15.5,2.8,-4.06
"105","0",1,9,1,16,1,1,1,13,14,10,8,1,0,0,1,0,0,19,0,0,6,0,0,0,11.1,0.6,2.02
"106","1",1,16,1,5,1,1,1,3,1,3,9,0,0,1,1,0,0,20,0,5,11,11,12.27272727,0,11.1,0.6,2.02
"107","0",1,1,2,10,1,1,1,22,28,5,8,1,0,0,1,0,0,19,0,0,6,0,0,0,16.2,0.3,-0.92
"108","0",1,1,1,6,1,1,1,1,1,5,5,1,0,0,1,0,0,20,0,0,6,17,13.25,0,15.5,2.8,-4.06
"109","0",1,1,5,12,1,1,1,3,4,5,4,1,0,0,1,0,0,20,0,0,7,10,12.3,0,12.4,0.5,1.79
"111","1",1,1,1,10,1,1,1,22,27,7,8,1,0,0,1,0,0,18,0,0,6,6,15,0,13.9,-0.3,0.79
"113","1",1,1,1,6,1,1,1,13,14,10,10,1,0,0,1,0,0,19,0,0,5,5,12.8,0,10.8,1.4,1.74
"114","1",1,1,3,15,1,1,1,1,28,5,8,1,0,0,1,0,0,18,0,0,6,7,12.57142857,0,10.8,1.4,1.74
"115","0",1,8,2,12,1,1,1,22,27,10,10,1,0,0,1,0,0,18,1,0,7,7,12.51666667,1,7.6,2.6,0.32
"119","1",1,1,2,6,1,1,1,22,28,10,8,0,0,0,1,0,0,18,2,0,5,6,11.4,0,9.4,-0.8,-3.12
"120","1",1,1,1,9,1,1,1,2,14,5,6,0,0,0,1,0,0,18,0,0,5,5,14,0,11.1,0.6,2.02
"121","0",1,8,1,11,1,1,1,1,1,5,6,1,0,0,1,0,0,21,0,0,6,12,11,0,9.4,-0.8,-3.12
"122","1",1,1,2,9,1,1,1,13,14,10,8,1,0,0,1,0,0,19,0,0,5,9,11.25,2,16.2,0.3,-0.92
"123","0",1,1,1,2,1,1,1,3,14,3,10,0,0,0,1,0,0,19,0,0,0,0,0,0,10.8,1.4,1.74
"124","1",1,1,1,14,1,1,1,23,28,10,10,0,0,0,1,0,1,19,0,0,5,5,14.2,0,9.4,-0.8,-3.12
"125","1",1,1,1,6,1,1,1,13,28,5,8,1,0,0,1,0,0,19,0,0,6,13,12.2,0,15.5,2.8,-4.06
"126","0",1,8,6,13,1,1,1,1,1,5,6,1,0,0,1,0,0,19,0,0,7,0,0,0,13.9,-0.3,0.79
"127","1",1,15,1,6,1,14,1,22,27,10,10,1,0,0,1,0,0,20,0,1,6,17,13.77777778,0,12.4,0.5,1.79
"129","1",1,8,3,10,1,1,1,1,29,6,4,1,0,0,1,0,0,18,0,0,6,6,13.66666667,0,12.4,0.5,1.79
"130","1",1,8,6,12,1,1,1,1,27,9,10,1,0,0,1,0,0,19,0,0,8,9,15.01111111,0,12.4,0.5,1.79
"131","0",1,1,3,12,1,1,1,13,14,6,9,1,0,0,1,0,1,18,0,0,8,9,13.74285714,0,13.9,-0.3,0.79
"132","1",1,8,2,5,1,1,1,22,27,10,10,1,0,0,1,0,0,18,0,0,6,6,13,0,7.6,2.6,0.32
"133","1",1,1,4,9,1,1,1,1,14,5,9,1,0,0,1,0,0,19,0,0,5,5,14.6,0,8.9,1.4,3.51
"134","0",1,8,6,12,1,1,1,1,14,4,4,1,0,0,1,0,0,19,0,0,7,7,0,0,13.9,-0.3,0.79
"135","1",1,14,1,10,1,1,1,23,27,10,8,0,0,0,1,0,0,20,0,2,7,8,11.71428571,0,7.6,2.6,0.32
"136","0",1,1,1,14,1,1,1,1,28,4,10,0,0,1,0,0,1,19,0,0,6,9,12.5,0,12.4,0.5,1.79
"137","1",1,8,1,14,1,1,1,13,14,6,6,1,0,0,1,0,0,20,0,0,5,5,11.5,0,7.6,2.6,0.32
"138","1",1,1,1,15,1,1,1,1,1,20,39,0,0,1,1,0,1,18,0,0,6,6,14.83333333,0,8.9,1.4,3.51
"140","1",1,9,1,12,1,1,1,13,1,5,9,0,0,0,1,0,0,18,0,0,8,8,17.5875,0,13.9,-0.3,0.79
"141","1",1,1,5,12,1,1,1,22,27,10,10,1,0,0,1,0,0,19,0,0,7,7,12.66666667,0,7.6,2.6,0.32
"142","1",1,1,6,15,1,1,1,13,1,5,5,1,0,0,1,0,1,19,0,0,6,10,12,0,12.4,0.5,1.79
"144","1",1,1,3,10,1,1,1,1,10,10,11,1,0,0,1,0,1,19,0,0,6,6,11.5,0,12.4,0.5,1.79
"145","1",1,1,3,12,1,1,1,13,14,10,8,1,0,0,1,0,1,19,0,0,8,11,12.33125,0,15.5,2.8,-4.06
"146","1",1,8,5,16,1,1,1,22,28,6,7,1,0,0,1,0,1,19,0,0,6,9,10.8,0,9.4,-0.8,-3.12
"147","0",1,1,4,11,1,1,1,10,14,10,10,1,0,0,1,0,0,19,0,0,5,10,0,0,7.6,2.6,0.32
"148","0",1,8,1,11,1,1,1,1,27,10,11,1,0,0,1,0,0,20,0,0,6,12,11.66666667,0,7.6,2.6,0.32
"149","1",1,1,1,9,1,1,1,3,14,3,11,0,0,0,1,0,0,18,0,0,5,9,14.16666667,0,13.9,-0.3,0.79
"150","1",1,1,1,12,1,1,1,1,14,10,10,0,0,0,1,0,1,20,0,0,8,9,14.17857143,0,11.1,0.6,2.02
"152","1",1,1,1,6,1,1,1,1,28,5,8,0,0,0,1,0,0,19,0,0,5,6,13.4,0,7.6,2.6,0.32
"154","1",1,1,1,16,1,1,1,22,27,10,10,1,0,0,1,0,0,18,0,0,6,8,11.8,0,7.6,2.6,0.32
"155","0",1,14,1,16,1,1,1,3,27,3,6,1,0,0,1,0,0,21,0,0,6,12,10,0,9.4,-0.8,-3.12
"156","0",1,1,1,16,1,1,1,23,27,7,7,0,0,0,1,0,0,19,0,0,6,10,11.5,0,7.6,2.6,0.32
"157","1",1,1,1,9,1,1,1,23,28,10,10,0,0,0,1,0,1,18,0,0,5,5,11.8,0,12.4,0.5,1.79
"158","1",1,8,2,10,1,1,1,1,27,8,10,1,0,0,1,0,1,18,0,0,6,7,11.85714286,0,12.7,3.7,-1.7
"159","1",1,1,3,10,1,1,1,13,1,10,11,1,0,0,1,0,0,20,0,0,6,9,11.83333333,0,9.4,-0.8,-3.12
"160","1",1,12,1,3,0,1,1,1,14,7,9,0,0,0,1,0,1,24,0,0,6,9,12.6,0,11.1,0.6,2.02
"161","0",1,1,1,14,1,1,1,13,1,5,2,0,0,0,1,0,0,19,0,0,6,9,13,0,10.8,1.4,1.74
"162","1",1,1,1,12,1,1,1,13,27,10,8,1,0,0,1,0,1,18,0,0,8,12,12.76111111,0,15.5,2.8,-4.06
"163","1",1,1,2,12,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,0,8,8,15.355,0,15.5,2.8,-4.06
"164","0",1,8,5,16,1,1,1,10,10,5,5,1,0,0,1,0,0,21,0,0,6,10,11,0,10.8,1.4,1.74
"165","1",1,8,2,14,1,1,1,1,14,6,5,0,0,0,1,0,0,19,0,0,5,5,14.2,0,7.6,2.6,0.32
"166","1",1,8,1,15,1,1,1,13,27,8,8,0,0,0,1,0,1,19,0,0,6,7,13,0,15.5,2.8,-4.06
"168","1",1,8,3,10,1,1,1,13,14,8,9,0,0,0,1,0,0,19,0,0,6,12,11,0,13.9,-0.3,0.79
"169","1",1,12,1,12,1,3,1,2,2,2,2,0,0,0,1,0,0,29,0,1,8,8,14.25714286,0,12.7,3.7,-1.7
"170","0",1,14,1,10,1,1,1,13,14,5,9,1,0,0,1,0,0,21,0,0,6,12,11.33333333,0,16.2,0.3,-0.92
"171","1",1,12,1,6,1,1,1,22,14,10,8,1,0,0,1,0,0,28,1,0,5,11,10.5,0,12.7,3.7,-1.7
"172","1",1,8,2,13,1,1,1,22,27,4,11,0,0,0,1,0,0,20,0,0,8,8,13.5625,0,15.5,2.8,-4.06
"173","1",1,8,1,12,1,1,1,2,28,5,6,1,0,0,1,0,0,19,0,0,7,7,11.68333333,0,7.6,2.6,0.32
"174","1",1,13,1,3,0,1,1,13,2,5,7,0,0,0,1,0,0,26,0,0,6,8,12,0,9.4,-0.8,-3.12
"175","0",1,8,2,11,1,1,1,22,27,10,9,1,0,1,0,0,0,20,0,0,6,6,13.16666667,0,11.1,0.6,2.02
"177","1",1,12,1,16,1,1,1,22,14,10,6,0,0,0,1,0,0,27,0,0,6,10,12,0,7.6,2.6,0.32
"178","0",1,1,2,12,1,1,1,19,24,12,12,1,0,0,1,0,0,20,0,0,7,8,11.95,0,7.6,2.6,0.32
"179","0",1,1,5,16,1,1,1,22,14,10,6,1,0,0,1,0,0,18,0,0,6,12,10.4,0,9.4,-0.8,-3.12
"180","0",1,4,1,12,1,3,1,1,1,10,6,0,0,0,1,0,0,33,0,3,8,10,14.58333333,0,16.2,0.3,-0.92
"181","1",1,14,1,16,1,1,1,3,1,4,4,1,0,0,1,0,0,35,0,13,19,19,12.78947368,0,12.4,0.5,1.79
"183","0",1,12,1,15,1,12,1,13,14,4,5,0,0,1,0,0,0,27,0,0,6,6,0,0,11.1,0.6,2.02
"184","0",1,9,3,5,1,1,1,1,27,6,6,1,0,0,0,0,0,19,0,0,6,6,0,0,15.5,2.8,-4.06
"185","0",1,8,2,11,1,1,1,1,14,5,7,0,0,0,1,0,0,20,0,0,6,0,0,0,11.1,0.6,2.02
"186","0",1,9,2,9,1,1,1,3,3,6,8,1,0,1,0,0,0,20,0,0,5,9,10.57142857,0,10.8,1.4,1.74
"188","1",1,8,3,12,1,1,1,23,1,10,5,1,0,0,1,0,1,18,0,0,7,7,13.05,0,7.6,2.6,0.32
"189","0",1,12,1,6,1,1,1,1,14,10,10,1,0,0,1,0,0,24,0,0,6,6,0,0,8.9,1.4,3.51
"190","1",1,8,4,5,1,1,1,1,3,5,2,1,0,0,1,0,0,20,0,0,6,6,12,0,16.2,0.3,-0.92
"191","1",1,1,1,11,1,1,1,13,28,10,9,0,0,0,1,0,1,21,0,0,6,6,12.5,0,13.9,-0.3,0.79
"193","0",1,12,1,9,1,1,1,10,3,5,4,1,0,0,1,0,0,24,0,0,5,5,0,0,7.6,2.6,0.32
"194","0",1,16,1,16,1,1,1,1,1,5,11,0,0,0,1,0,0,21,0,0,6,0,0,0,12.4,0.5,1.79
"195","1",1,1,4,12,1,1,1,23,28,10,9,1,0,0,1,0,0,18,0,0,8,8,12.24285714,0,12.7,3.7,-1.7
"196","0",1,12,1,17,0,15,1,13,1,4,5,1,0,0,1,0,0,27,0,0,5,0,0,0,8.9,1.4,3.51
"197","1",1,9,6,12,1,1,1,22,27,6,6,1,0,0,1,0,0,18,0,0,8,8,12.93375,0,9.4,-0.8,-3.12
"198","0",1,4,1,7,1,3,1,3,2,3,3,0,0,0,1,0,0,35,0,0,5,0,0,0,13.9,-0.3,0.79
"199","1",1,1,1,16,1,1,1,13,14,4,9,0,0,0,1,0,0,18,0,0,7,8,14.42857143,0,11.1,0.6,2.02
"200","0",1,12,1,12,1,1,1,1,3,28,19,0,0,0,1,0,0,35,0,0,3,3,11.33333333,0,11.1,0.6,2.02
"201","1",1,1,1,6,1,1,1,1,1,5,8,1,0,0,1,0,0,19,0,0,5,13,14.33333333,2,10.8,1.4,1.74
"202","1",1,1,4,10,1,1,1,13,14,5,1,1,0,0,1,0,0,20,0,0,6,6,11.33333333,0,7.6,2.6,0.32
"203","1",1,1,4,12,1,1,1,13,14,8,8,1,0,0,1,0,0,18,0,0,8,8,12.32428571,0,10.8,1.4,1.74
"204","1",1,15,1,10,1,14,1,23,28,6,11,0,0,1,1,0,0,21,0,2,6,7,11.71428571,0,13.9,-0.3,0.79
"205","1",1,8,2,10,1,1,1,13,27,10,9,0,0,0,1,0,1,18,0,0,6,11,11.25,0,16.2,0.3,-0.92
"206","1",1,1,1,10,1,1,1,19,24,1,1,1,0,0,1,0,0,18,0,0,6,9,10.75,0,7.6,2.6,0.32
"207","1",1,1,2,12,1,1,1,13,28,10,10,1,0,0,1,0,0,18,0,0,8,8,12.91428571,0,12.7,3.7,-1.7
"208","1",1,1,4,15,1,1,1,3,14,2,5,1,0,0,1,0,1,18,0,0,6,6,14.16666667,0,16.2,0.3,-0.92
"209","1",1,1,1,6,1,1,1,13,1,9,8,1,0,0,1,0,0,19,0,0,6,9,13.4,0,13.9,-0.3,0.79
"210","0",1,12,1,11,1,12,1,3,14,3,4,0,0,0,1,0,1,36,0,0,6,6,12.8,0,16.2,0.3,-0.92
"211","1",1,1,2,12,1,1,1,23,1,8,5,1,0,0,1,0,1,18,0,0,8,8,12.64285714,0,12.7,3.7,-1.7
"212","1",1,1,1,12,1,1,1,22,27,10,10,0,0,0,1,0,1,18,0,0,7,7,12.91666667,0,7.6,2.6,0.32
"213","1",1,14,1,8,1,1,1,1,3,10,3,1,0,0,1,0,1,20,0,0,6,8,15.85714286,0,13.9,-0.3,0.79
"214","0",1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,1,26,0,0,5,8,0,0,16.2,0.3,-0.92
"215","1",1,14,1,15,1,1,1,1,1,5,6,0,0,0,1,0,0,21,0,0,6,7,12,0,7.6,2.6,0.32
"217","1",1,9,1,9,1,1,1,13,3,6,6,1,0,0,1,0,1,19,0,0,5,5,11.6,0,12.4,0.5,1.79
"218","0",1,12,1,3,0,1,1,13,27,9,8,1,0,0,1,0,0,24,0,0,6,6,0,6,9.4,-0.8,-3.12
"219","0",1,12,1,3,0,1,1,1,14,6,5,0,0,0,1,0,1,27,0,0,6,13,0,0,8.9,1.4,3.51
"220","0",1,8,1,6,1,1,1,13,27,2,4,0,0,0,1,0,0,21,1,0,5,9,13.5,0,7.6,2.6,0.32
"221","1",1,1,1,9,1,1,1,23,28,8,8,0,0,0,1,0,1,18,0,0,5,8,12.33333333,0,9.4,-0.8,-3.12
"222","1",2,1,4,16,1,1,1,22,27,6,8,0,1,0,1,0,1,19,0,0,6,6,14.5,0,10.8,1.4,1.74
"223","0",1,1,3,11,1,1,1,1,1,4,4,1,0,0,1,0,0,18,0,0,6,13,12.5,0,9.4,-0.8,-3.12
"224","1",1,16,1,12,1,1,1,13,1,6,10,0,0,0,1,0,1,19,0,0,8,9,12.19285714,0,11.1,0.6,2.02
"225","1",1,9,1,12,1,1,1,1,28,5,6,1,0,0,1,0,1,19,0,0,8,9,14.9125,0,16.2,0.3,-0.92
"226","1",2,4,1,17,0,17,1,25,5,4,4,0,0,0,1,0,0,33,0,0,5,5,15.8,0,11.1,0.6,2.02
"227","1",2,4,1,9,1,3,1,1,4,4,11,0,0,0,1,0,0,45,0,0,5,5,13.8,0,12.4,0.5,1.79
"228","1",1,1,1,10,1,1,1,1,1,10,10,0,0,0,1,0,1,20,0,0,6,7,12.85714286,0,11.1,0.6,2.02
"229","0",1,12,2,14,1,1,1,19,24,1,1,1,0,0,1,0,0,28,0,0,5,5,0,0,7.6,2.6,0.32
"230","1",1,14,1,12,1,1,1,1,1,6,9,1,0,0,1,0,1,19,0,0,8,15,11.57142857,0,12.7,3.7,-1.7
"231","1",1,1,2,11,1,1,1,1,27,5,6,1,0,0,1,0,0,18,0,0,6,6,12.66666667,0,12.7,3.7,-1.7
"232","0",1,12,1,11,1,3,1,13,14,5,7,0,0,0,1,0,0,38,0,0,6,0,0,0,15.5,2.8,-4.06
"233","1",1,1,2,14,1,1,1,1,3,5,4,0,0,0,1,0,0,19,0,0,5,5,13.2,0,9.4,-0.8,-3.12
"234","1",1,1,1,11,1,1,1,1,27,10,10,0,0,0,1,0,1,21,0,0,6,8,12,0,15.5,2.8,-4.06
"235","0",1,1,1,9,1,1,1,22,1,10,11,0,0,0,1,0,0,21,0,0,5,12,15,3,16.2,0.3,-0.92
"236","1",1,1,1,10,1,1,1,23,27,10,10,0,0,0,1,0,1,22,0,0,6,6,13,0,10.8,1.4,1.74
